ts_code,trade_date,close,pct_chg,score,volume_ratio,structure,ma10,ma20,macd_dif,macd_dea,rsi6,boll_mid,turnover,avg_turnover_5,atr_ratio,price_vs_ma20,tier,ma5,kdj_k,kdj_d,wr1,wr2,regime,entry_price,ret_1,ret_3,ret_5
159636.SZ,20250106.000000,1.024000,0.097800,5,,,1.031400,1.030800,,,45.438810,,233452.554000,279500.812000,0.017020,-0.006597,B,1.027600,40.089391,49.280839,66.666665,66.666665,sideways,1.024000,-0.024414,-0.032227,-0.055664
513630.SH,20250106.000000,1.277000,0.156900,5,,,1.287200,1.277600,,,45.489778,,110509.689000,292889.807200,0.016445,-0.000470,B,1.284200,27.633795,43.731016,84.693877,89.247311,sideways,1.277000,-0.008614,-0.008614,-0.028191
513630.SH,20250107.000000,1.266000,-0.861400,4,,,1.286600,1.277950,,,36.379777,,78338.508000,250585.670800,0.016701,-0.009351,B,1.277200,20.422530,35.961520,93.999999,93.999999,sideways,1.266000,-0.003160,-0.011058,-0.009479
159501.SZ,20250108.000000,1.511000,-1.177200,5,,,1.530200,1.514050,,,44.291721,,428685.706000,419397.104200,0.020894,-0.002014,A,1.525800,42.356411,56.438137,87.499999,87.499999,sideways,1.511000,-0.005295,-0.028458,-0.023163
159513.SZ,20250108.000000,1.366000,-1.300600,3,,,1.377100,1.361050,,,47.384346,,193043.033000,234427.839000,0.019086,0.003637,C,1.373400,48.221203,60.356432,79.245282,79.245282,sideways,1.366000,-0.005857,-0.032211,-0.030015
159659.SZ,20250108.000000,1.731000,-0.915900,3,,,1.745700,1.728150,,,48.010422,,891846.975000,1040308.882000,0.022737,0.001649,C,1.741400,47.575809,54.044316,67.010309,67.010309,sideways,1.731000,-0.004622,-0.031196,-0.025997
513110.SH,20250108.000000,1.866000,-0.955400,3,,,1.883100,1.860450,,,47.885900,,397708.669000,398538.964200,0.022814,0.002983,C,1.877800,48.642507,57.832459,71.134020,71.134020,sideways,1.866000,-0.001072,-0.033762,-0.028403
513630.SH,20250108.000000,1.262000,-0.316000,3,,,1.283700,1.277500,,,33.456106,,492174.543000,254220.341600,0.018621,-0.012133,C,1.269600,16.701440,29.541493,90.740740,90.740740,sideways,1.262000,0.003170,-0.016640,-0.006339
513650.SH,20250108.000000,1.614000,-0.308800,3,,,1.613500,1.614000,,,51.373440,,196314.267000,343663.669000,0.013454,0.000000,C,1.611600,55.811504,54.403013,48.979591,48.979591,sideways,1.614000,-0.002478,-0.021066,-0.010533
513870.SH,20250108.000000,1.530000,-1.034900,3,,,1.540900,1.525400,,,48.556593,,261706.542000,297744.244400,0.022736,0.003016,C,1.538200,50.926153,57.767508,66.265059,66.265059,sideways,1.530000,-0.005882,-0.031373,-0.027451
159501.SZ,20250109.000000,1.503000,-0.529500,4,,,1.526400,1.516100,,,40.675837,,244679.222000,411625.140400,0.018962,-0.008641,B,1.521200,30.653066,47.843113,92.753622,92.753622,sideways,1.503000,-0.000665,-0.010645,0.005988
159513.SZ,20250109.000000,1.358000,-0.585700,4,,,1.374400,1.363350,,,42.353785,,61416.105000,208255.971400,0.017147,-0.003924,B,1.370400,34.034261,51.582375,94.339621,98.039214,sideways,1.358000,-0.000736,-0.013991,0.001473
159632.SZ,20250109.000000,1.897000,0.000000,4,,,1.908200,1.881900,,,50.850525,,261019.469000,726547.184400,0.029709,0.008024,B,1.899400,28.527700,45.214883,87.124463,87.124463,sideways,1.897000,-0.004217,-0.026357,-0.012652
159659.SZ,20250109.000000,1.723000,-0.462200,5,,,1.740800,1.730650,,,45.139071,,494468.479000,930149.122400,0.021060,-0.004420,A,1.738200,39.964629,49.351087,75.257731,82.954545,sideways,1.723000,-0.002322,-0.012188,0.005804
513110.SH,20250109.000000,1.864000,-0.107200,4,,,1.879100,1.863800,,,47.159631,,126105.042000,349048.162400,0.020616,0.000107,B,1.875400,41.363046,52.342654,73.195876,76.344085,sideways,1.864000,-0.001609,-0.018240,-0.002682
513630.SH,20250109.000000,1.266000,0.317000,6,,,1.280500,1.277150,,,39.309040,,252175.969000,246949.797000,0.018224,-0.008730,B,1.269200,15.455281,24.846089,87.037036,76.666665,sideways,1.266000,-0.011058,-0.009479,0.002370
513650.SH,20250109.000000,1.610000,-0.247800,4,,,1.611700,1.614150,,,48.206680,,94918.828000,298688.984000,0.011402,-0.002571,B,1.612400,51.493383,53.433136,57.142856,59.574467,sideways,1.610000,-0.002484,-0.009317,0.009317
513870.SH,20250109.000000,1.521000,-0.588200,5,,,1.537000,1.527500,,,44.612350,,118395.943000,266897.413400,0.020851,-0.004255,B,1.535600,41.581291,52.372102,77.108433,84.210525,sideways,1.521000,-0.003287,-0.010519,0.004602
159501.SZ,20250110.000000,1.502000,-0.066500,5,,,1.521200,1.516900,,,40.183759,,454959.359000,449628.262000,0.018689,-0.009823,A,1.518400,24.088346,39.924858,89.041095,89.041095,sideways,1.502000,-0.022636,-0.017310,0.003329
159502.SZ,20250110.000000,1.018000,-0.196100,3,,,1.014700,1.015050,,,50.402329,,995973.194000,362753.793200,0.019155,0.002906,C,1.021600,61.775788,64.194825,56.944444,67.213114,sideways,1.018000,-0.030452,-0.044204,-0.034381
159509.SZ,20250110.000000,1.626000,-0.611200,5,,,1.634700,1.630500,,,44.756555,,1136588.774000,1099637.789600,0.016781,-0.002760,A,1.646400,41.416536,51.572821,74.999999,91.764705,sideways,1.626000,-0.025215,-0.018450,-0.001230
159513.SZ,20250110.000000,1.357000,-0.073600,5,,,1.370600,1.364600,,,41.689883,,140476.780000,202277.279800,0.016844,-0.005569,B,1.370200,26.198279,43.121010,89.473683,89.473683,sideways,1.357000,-0.025792,-0.023581,-0.002211
159632.SZ,20250110.000000,1.889000,-0.421700,3,,,1.902700,1.885750,,,46.952056,,477819.931000,753968.353200,0.029154,0.001723,C,1.903400,22.165820,37.531862,90.557940,90.557940,sideways,1.889000,-0.034410,-0.029645,-0.011117
159659.SZ,20250110.000000,1.719000,-0.232200,5,,,1.734000,1.731550,,,43.575407,,1006507.804000,984814.496000,0.020859,-0.007248,A,1.737800,33.515938,44.072704,79.381442,93.902438,sideways,1.719000,-0.024433,-0.019197,0.004654
159660.SZ,20250110.000000,1.781000,-1.329600,4,,,1.821700,1.802950,,,37.384240,,574021.395000,475932.504000,0.031202,-0.012174,B,1.817400,29.842567,46.564081,97.142856,97.142856,sideways,1.781000,-0.029759,-0.023021,0.001123
159866.SZ,20250110.000000,1.073000,-1.197100,3,,,1.079500,1.071950,,,44.044671,,2074945.115000,553199.455400,0.020703,0.000980,C,1.081000,39.699875,49.343203,91.111110,91.111110,sideways,1.073000,-0.015843,-0.009320,0.099720
513110.SH,20250110.000000,1.861000,-0.160900,5,,,1.873400,1.865550,,,45.906387,,357273.623000,365977.717000,0.020381,-0.002439,B,1.876400,35.479144,46.721484,76.288659,82.222221,sideways,1.861000,-0.031166,-0.025793,-0.005911
513650.SH,20250110.000000,1.606000,-0.248400,4,,,1.609700,1.613700,,,44.886415,,383252.856000,318654.593800,0.011430,-0.004772,B,1.614800,45.893548,50.919940,65.306121,69.565216,sideways,1.606000,-0.016189,-0.005604,0.012453
513870.SH,20250110.000000,1.516000,-0.328700,5,,,1.531700,1.528150,,,42.320555,,432156.011000,310783.101600,0.020825,-0.007951,B,1.534800,33.343350,46.029185,83.132529,94.520547,sideways,1.516000,-0.022427,-0.018470,0.005277
